,,,Passing,,,,Rushing,,,,Receiving,,,,Kick Ret,,Punt Ret,
Name,Team,Pos,YDS,TD,INT,YPA,ATT,YDS,AVG,TD,REC,YDS,AVG,TD,YDS,TD,YDS,TD
Deuce Vaughn,DAL,RB,0,0,0,0.0,34,143,4.2,1,10,73,7.3,0,0,0,0,0
Kimani Vidal,FA,RB,0,0,0,0.0,62,258,4.2,2,9,66,7.3,0,0,0,0,0
Tristan Vizcaino,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Jaylen Waddle,MIA,WR,0,0,0,0.0,3,19,6.3,0,80,1099,13.7,6,0,0,0,0
Kenneth Walker,SEA,RB,0,0,0,0.0,231,970,4.2,7,29,215,7.4,1,0,0,0,0
Devontez Walker,FA,WR,0,0,0,0.0,1,9,9.0,0,44,536,12.2,4,0,0,0,0
Tylan Wallace,BAL,WR,0,0,0,0.0,1,4,4.0,0,5,64,12.8,0,69,0,53,0
Darren Waller,NYG,TE,0,0,0,0.0,0,0,0.0,0,59,636,10.8,4,0,0,0,0
Jaylen Warren,PIT,RB,0,0,0,0.0,151,664,4.4,4,45,336,7.5,2,0,0,0,0
Parker Washington,JAX,WR,0,0,0,0.0,2,10,5.0,0,30,321,10.7,2,69,0,80,0
Malik Washington,FA,WR,0,0,0,0.0,5,31,6.2,0,30,378,12.6,3,0,0,0,0
Darnell Washington,PIT,TE,0,0,0,0.0,0,0,0.0,0,15,153,10.2,1,0,0,0,0
Quez Watkins,FA,WR,0,0,0,0.0,1,5,5.0,0,14,196,14.0,1,0,0,0,0
Justin Watson,KC,WR,0,0,0,0.0,0,0,0.0,0,14,200,14.3,1,0,0,0,0
Deshaun Watson,CLE,QB,3378,21,13,6.9,77,393,5.1,4,0,0,0.0,0,0,0,0,0
Blake Watson,FA,RB,0,0,0,0.0,34,141,4.1,1,5,38,7.6,0,0,0,0,0
Christian Watson,GB,WR,0,0,0,0.0,5,26,5.2,0,54,751,13.9,6,0,0,0,0
Carson Wentz,FA,QB,202,1,1,6.5,3,13,4.3,0,0,0,0.0,0,0,0,0,0
Nick Westbrook-Ikhine,TEN,WR,0,0,0,0.0,1,4,4.0,0,14,200,14.3,1,0,0,0,0
Mike White,MIA,QB,212,1,1,7.1,2,6,3.0,0,0,0,0.0,0,0,0,0,0
Zamir White,LV,RB,0,0,0,0.0,191,784,4.1,6,30,218,7.3,1,0,0,0,0
Rachaad White,TB,RB,0,0,0,0.0,215,889,4.1,6,50,367,7.3,2,0,0,0,0
Josh Whyle,TEN,TE,0,0,0,0.0,0,0,0.0,0,22,234,10.6,1,0,0,0,0
Dontayvion Wicks,GB,WR,0,0,0,0.0,3,16,5.3,0,50,654,13.1,4,0,0,0,0
Kyren Williams,LAR,RB,0,0,0,0.0,266,1170,4.4,10,41,299,7.3,2,0,0,0,0
Jameson Williams,DET,WR,0,0,0,0.0,5,31,6.2,0,50,707,14.1,5,0,0,0,0
Javonte Williams,DEN,RB,0,0,0,0.0,209,878,4.2,6,32,232,7.3,1,0,0,0,0
Miyan WIlliams,FA,RB,0,0,0,0.0,13,53,4.1,0,2,11,5.5,0,0,0,0,0
Caleb Williams,FA,QB,3843,22,14,7.1,68,272,4.0,3,0,0,0.0,0,0,0,0,0
Jamaal Williams,NO,RB,0,0,0,0.0,94,386,4.1,2,11,76,6.9,0,0,0,0,0
Mike Williams,FA,WR,0,0,0,0.0,1,5,5.0,0,54,722,13.4,5,0,0,0,0
Malik Willis,TEN,QB,168,1,1,6.7,5,26,5.2,0,0,0,0.0,0,0,0,0,0
Garrett Wilson,NYJ,WR,0,0,0,0.0,5,31,6.2,0,98,1256,12.8,8,0,0,0,0
Zach Wilson,NYJ,QB,191,1,1,6.6,4,17,4.3,0,0,0,0.0,0,0,0,0,0
Michael Wilson,ARI,WR,0,0,0,0.0,1,5,5.0,0,46,581,12.6,4,0,0,0,0
Johnny Wilson,FA,WR,0,0,0,0.0,2,9,4.5,0,23,279,12.1,2,0,0,0,0
Roman Wilson,FA,WR,0,0,0,0.0,4,29,7.3,0,53,627,11.8,4,0,0,0,0
Emanuel Wilson,GB,RB,0,0,0,0.0,29,122,4.2,1,5,37,7.4,0,0,0,0,0
Russell Wilson,PIT,QB,3185,21,10,7.0,71,327,4.6,2,0,0,0.0,0,0,0,0,0
Jeff Wilson,MIA,RB,0,0,0,0.0,49,212,4.3,2,8,57,7.1,0,0,0,0,0
Cedrick Wilson,FA,WR,0,0,0,0.0,1,6,6.0,0,22,278,12.6,2,0,0,0,0
Jameis Winston,CLE,QB,241,2,1,7.1,4,16,4.0,0,0,0,0.0,0,0,0,0,0
Robert Woods,HOU,WR,0,0,0,0.0,1,6,6.0,0,20,204,10.2,1,0,0,0,0
Jelani Woods,IND,TE,0,0,0,0.0,0,0,0.0,0,24,265,11.0,2,0,0,0,0
Michael Woods,CLE,WR,0,0,0,0.0,1,4,4.0,0,9,119,13.2,1,0,0,0,0
Xavier Worthy,FA,WR,0,0,0,0.0,3,20,6.7,0,54,723,13.4,4,0,0,0,0
Jaylen Wright,FA,RB,0,0,0,0.0,113,475,4.2,3,18,129,7.2,1,0,0,0,0
Brock Wright,DET,TE,0,0,0,0.0,0,0,0.0,0,11,109,9.9,1,0,0,0,0
Cade York,FA,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Bryce Young,CAR,QB,3471,20,14,6.6,49,227,4.6,2,0,0,0.0,0,0,0,0,0
Olamide Zaccheaus,FA,WR,0,0,0,0.0,1,5,5.0,0,11,147,13.4,1,0,0,0,0
Bailey Zappe,NE,QB,210,1,1,6.8,6,25,4.2,0,0,0,0.0,0,0,0,0,0
Greg Zuerlein,NYJ,K,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
