season,week,game_id,player_id,receiving_tds_40_plus,receiving_tds_50_plus,rushing_tds_40_plus,rushing_tds_50_plus,pick_sixes_thrown,fumble_recovery_tds,special_teams_fumbles_forced,special_teams_fumbles_recovered
2025,14,2025_14_PHI_LAC,00-0034844,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,14,2025_14_PHI_LAC,00-0036338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,14,2025_14_TEN_CLE,00-0035261,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,14,2025_14_TEN_CLE,00-0036407,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,15,2025_15_ARI_HOU,00-0033854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,15,2025_15_ARI_HOU,00-0036554,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,15,2025_15_ARI_HOU,00-0039395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,15,2025_15_ARI_HOU,00-0040583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025,15,2025_15_BAL_CIN,00-0036442,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,15,2025_15_BUF_NE,00-0040734,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2025,15,2025_15_GB_DEN,00-0035700,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,15,2025_15_NYJ_JAX,00-0036973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,15,2025_15_WAS_NYG,00-0035659,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,16,2025_16_BUF_CLE,00-0037248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,16,2025_16_CIN_MIA,00-0039040,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025,16,2025_16_GB_CHI,00-0034827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,16,2025_16_LA_SEA,00-0038134,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,16,2025_16_LA_SEA,00-0039075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,16,2025_16_LV_HOU,00-0030565,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,16,2025_16_LV_HOU,00-0040122,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,16,2025_16_PHI_WAS,00-0039898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,16,2025_16_PHI_WAS,00-0040216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,16,2025_16_PIT_DET,00-0036919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,16,2025_16_PIT_DET,00-0037228,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025,16,2025_16_SF_IND,00-0022942,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,16,2025_16_SF_IND,00-0037112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,16,2025_16_SF_IND,00-0038554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,17,2025_17_CHI_SF,00-0037834,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,17,2025_17_DAL_WAS,00-0037801,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,17,2025_17_DAL_WAS,00-0040242,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,17,2025_17_DET_MIN,00-0038994,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,17,2025_17_HOU_LAC,00-0040130,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,17,2025_17_HOU_LAC,00-0040138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,17,2025_17_LA_ATL,00-0026498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,17,2025_17_LA_ATL,00-0038542,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,17,2025_17_NE_NYJ,00-0038120,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025,17,2025_17_NO_TEN,00-0037809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,17,2025_17_TB_MIA,00-0040311,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,18,2025_18_ARI_LA,00-0038559,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,18,2025_18_BAL_PIT,00-0039064,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,18,2025_18_CAR_TB,00-0039637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,18,2025_18_CLE_CIN,00-0036442,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,18,2025_18_IND_HOU,00-0037664,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,18,2025_18_KC_LV,00-0037208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025,18,2025_18_KC_LV,00-0040328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,18,2025_18_LAC_DEN,00-0037012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025,18,2025_18_TEN_JAX,00-0032434,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
