season,sleeper_id,player,position,team,injury_probability,injuries_per_season,injury_probability_per_game,projected_games_missed,durability,updated_at
2026,12498,Mason Taylor,TE,NYJ,0.39,1,0.03,1.0,5.0,2026 copied table
2026,9506,Sean Tucker,RB,TB,0.2,0,0.01,0.7,5.0,2026 copied table
2026,5906,Dawson Knox,TE,BUF,0.21,0.9,0.01,0.8,5.0,2026 copied table
2026,11600,Ja'Tavion Sanders,TE,CAR,0.31,1.5,0.02,0.9,4.3,2026 copied table
2026,4950,Christian Kirk,WR,SF,0.35,0.9,0.03,1.4,5.0,2026 copied table
2026,13405,Kaytron Allen,RB,WAS,0.24,TBD,0.02,0.9,5.0,2026 copied table
2026,12503,Isaiah Bond,WR,CLE,0.12,0,0.01,1.0,5.0,2026 copied table
2026,13288,Nicholas Singleton,RB,TEN,0.19,TBD,0.01,0.9,5.0,2026 copied table
2026,6826,Cole Kmet,TE,CHI,0.35,0.7,0.03,2.9,5.0,2026 copied table
2026,4098,Kareem Hunt,RB,UNS,0.36,0.8,0.03,1.4,5.0,2026 copied table
2026,11650,Luke McCaffrey,WR,WAS,0.13,0.5,0.01,1.0,3.5,2026 copied table
2026,4177,Mack Hollins,WR,NE,0.22,0.1,0.01,1.0,5.0,2026 copied table
2026,6945,Antonio Gibson,RB,UNS,0.31,1.5,0.02,1.8,4.3,2026 copied table
2026,13285,Malachi Fields,WR,NYG,0.19,TBD,0.01,0.6,2.6,2026 copied table
2026,9225,Tank Bigsby,RB,PHI,0.22,0.7,0.01,0.7,5.0,2026 copied table
2026,5857,Noah Fant,TE,NO,0.29,1.3,0.02,1.0,5.0,2026 copied table
2026,11597,Theo Johnson,TE,NYG,0.23,0,0.02,1.3,5.0,2026 copied table
2026,11630,Roman Wilson,WR,PIT,0.07,0.5,0.0,0.7,5.0,2026 copied table
2026,3202,Austin Hooper,TE,ATL,0.16,0.4,0.01,0.7,5.0,2026 copied table
2026,5955,Hunter Renfrow,WR,UNS,0.18,0.4,0.01,0.7,5.0,2026 copied table
2026,8135,Treylon Burks,WR,WAS,0.29,1.6,0.02,1.2,4.0,2026 copied table
2026,4988,Nick Chubb,RB,UNS,0.28,0.9,0.02,0.6,3.3,2026 copied table
2026,12547,Kyle Williams,WR,NE,0.06,0,0.0,0.8,5.0,2026 copied table
2026,7587,Dyami Brown,WR,WAS,0.36,1.2,0.03,1.3,5.0,2026 copied table
2026,13272,Carson Beck,QB,ARI,0.29,TBD,0.02,1.3,5.0,2026 copied table
2026,3271,Tyler Higbee,TE,LAR,0.34,1.2,0.02,1.6,5.0,2026 copied table
2026,12505,Jalen Royals,WR,KC,0.28,1,0.02,0.9,1.9,2026 copied table
2026,1166,Kirk Cousins,QB,LVR,0.19,0.1,0.01,0.7,5.0,2026 copied table
2026,8225,Daniel Bellinger,TE,TEN,0.28,1,0.02,1.0,5.0,2026 copied table
2026,11643,Jaylen Wright,RB,MIA,0.23,0.5,0.02,0.5,5.0,2026 copied table
2026,4663,Austin Ekeler,RB,UNS,0.36,1.6,0.03,2.2,3.6,2026 copied table
2026,9757,Kendre Miller,RB,NO,0.33,2.3,0.02,2.4,1.4,2026 copied table
2026,6130,Devin Singletary,RB,NYG,0.29,0.3,0.02,0.7,5.0,2026 copied table
2026,5970,Greg Dortch,WR,DET,0.18,0.3,0.01,0.8,5.0,2026 copied table
2026,9501,Demario Douglas,WR,NE,0.15,0.7,0.01,0.8,5.0,2026 copied table
2026,11599,Cade Stover,TE,HOU,0.36,2.5,0.03,0.9,3.3,2026 copied table
2026,5987,Alexander Mattison,RB,UNS,0.27,1,0.02,0.7,5.0,2026 copied table
2026,6151,Miles Sanders,RB,UNS,0.35,2,0.03,1.9,3.0,2026 copied table
2026,5010,Will Dissly,TE,UNS,0.08,0.5,0.0,0.2,3.8,2026 copied table
2026,3321,Tyreek Hill,WR,UNS,0.42,1.1,0.03,2.5,5.0,2026 copied table
2026,11575,Ray Davis,RB,BUF,0.24,0.5,0.02,1.2,5.0,2026 copied table
2026,11596,Ben Sinnott,TE,WAS,0.2,0,0.01,1.3,5.0,2026 copied table
2026,8143,Jerome Ford,RB,WAS,0.44,1.2,0.03,3.3,4.6,2026 copied table
2026,11629,Devontez Walker,WR,BAL,0.08,0,0.0,0.4,2.2,2026 copied table
2026,10444,Cedric Tillman,WR,CLE,0.34,1.3,0.02,0.9,3.1,2026 copied table
2026,11199,Emari Demercado,RB,KC,0.23,1.7,0.02,0.4,5.0,2026 copied table
2026,8147,John Metchie,WR,CAR,0.13,0.6,0.01,0.9,5.0,2026 copied table
2026,6869,Adam Trautman,TE,DEN,0.12,0.5,0.01,0.6,5.0,2026 copied table
2026,12531,Trevor Etienne,RB,CAR,0.18,0,0.01,0.9,5.0,2026 copied table
2026,5086,Marquez Valdes-Scantling,WR,DAL,0.17,1,0.01,0.3,5.0,2026 copied table
2026,9481,Luke Musgrave,TE,GB,0.16,1,0.01,0.5,2.3,2026 copied table
2026,4040,JuJu Smith-Schuster,WR,NYG,0.56,1.6,0.05,2.8,4.4,2026 copied table
2026,8230,Ty Chandler,RB,NO,0.17,0,0.01,0.7,4.6,2026 copied table
2026,12471,DJ Giddens,RB,IND,0.17,0,0.01,0.8,5.0,2026 copied table
