"Player","Pos","Team","week1Targets","week2Targets","week3Targts","week4Targets","week5Targets","week6Targets","week7Targets","week8Targets","week9Targets","week10Targets","week11Targets","week12Targets","week13Targets","week14Targets","week15Targets","week16Targets","week17Targets","week18Targets","TTL","AVG"
"Kalif Raymond","WR","DET","1","3","6","1","3","3","2","4","bye","4","2","5","0","4","1","2","1","2","44","2.6"
"Chuba Hubbard","RB","CAR","2","5","3","2","2","1","bye","2","6","2","2","5","0","2","2","1","5","2","44","2.6"
"Alexander Mattison","RB","MIN","4","6","7","1","3","7","3","1","2","2","2","2","bye","1","-","0","2","1","44","2.8"
"Brandon Powell","WR","MIN","0","0","1","0","6","4","5","3","3","5","4","3","bye","1","0","4","2","3","44","2.6"
"Noah Fant","TE","SEA","0","4","5","2","bye","1","1","3","1","3","2","2","4","4","5","0","6","0","43","2.5"
"Brian Robinson Jr.","RB","WAS","2","3","0","2","4","2","1","2","2","6","9","3","0","bye","-","-","4","3","43","2.9"
"Zach Ertz","TE","ARI","10","8","2","10","4","5","4","-","-","-","-","-","-","bye","-","-","-","-","43","6.1"
"Durham Smythe","TE","MIA","7","3","1","4","0","1","0","3","3","bye","-","3","0","3","4","5","3","3","43","2.7"
"Van Jefferson","WR","ATL","5","4","3","3","0","2","2","5","4","1","bye","2","0","0","1","3","5","3","43","2.5"
"Aaron Jones","RB","GB","4","-","-","2","-","bye","5","5","6","6","2","-","-","-","4","3","1","5","43","3.9"
"Marquez Valdes-Scantling","WR","KC","2","3","2","2","2","1","5","4","3","bye","3","1","5","4","1","1","3","-","42","2.6"
"Jameson Williams","WR","DET","-","-","-","-","3","3","6","3","bye","2","3","3","1","2","7","6","3","-","42","3.5"
"Noah Gray","TE","KC","5","3","2","3","2","2","1","3","3","bye","1","3","1","0","2","3","4","3","41","2.4"
"Miles Sanders","RB","CAR","6","5","9","3","1","-","bye","0","5","2","1","1","2","0","2","2","2","0","41","2.6"
"Greg Dortch","WR","ARI","0","0","0","0","0","1","0","-","1","0","8","9","3","bye","3","5","7","4","41","2.6"
"Donald Parham Jr.","TE","LAC","3","2","2","1","bye","3","3","5","2","2","6","0","4","2","-","-","-","6","41","2.9"
"Tucker Kraft","TE","GB","0","0","0","2","0","bye","0","0","0","3","2","2","6","4","6","6","6","3","40","2.4"
"Isaiah Likely","TE","BAL","1","1","2","0","0","0","0","1","4","1","2","6","bye","7","6","4","3","2","40","2.4"
"Taysom Hill","TE","NO","1","2","1","1","1","8","5","1","5","4","bye","2","2","-","1","0","2","4","40","2.5"
"Zach Charbonnet","RB","SEA","0","2","2","3","bye","2","-","2","1","5","6","4","2","1","1","2","5","2","40","2.5"
"Roschon Johnson","RB","CHI","7","2","2","1","0","-","-","4","1","6","0","5","bye","0","6","3","3","0","40","2.7"
"Michael Mayer","TE","LV","0","1","1","0","3","6","4","2","2","5","5","4","bye","2","5","-","-","-","40","2.9"
"Jalin Hyatt","WR","NYG","1","2","0","2","0","4","5","0","5","1","2","6","bye","3","3","0","4","2","40","2.4"
"Demarcus Robinson","WR","LAR","0","0","0","0","-","-","-","-","1","bye","2","2","5","10","3","6","10","0","39","3.0"
"Justice Hill","RB","BAL","0","3","-","0","4","3","1","4","1","0","1","1","bye","2","1","3","5","10","39","2.4"
"Kadarius Toney","WR","KC","5","5","1","2","6","6","1","1","1","bye","2","-","0","4","4","-","-","-","38","2.9"
"Skyy Moore","WR","KC","3","4","6","2","2","4","3","3","3","bye","2","3","2","1","0","-","-","-","38","2.7"
"Devin Singletary","RB","HOU","0","1","2","1","1","2","bye","2","2","2","2","7","1","3","5","3","3","1","38","2.2"
"Najee Harris","RB","PIT","2","3","1","2","1","bye","3","5","4","4","2","0","3","3","0","0","0","5","38","2.2"
"Xavier Gipson","WR","NYJ","0","0","0","1","0","0","bye","1","2","3","2","2","6","1","6","2","7","5","38","2.2"
"Cedrick Wilson Jr.","WR","MIA","-","-","0","2","4","0","3","1","5","bye","4","0","0","4","3","5","4","3","38","2.5"
"Hunter Renfrow","WR","LV","0","1","2","4","2","0","3","4","3","1","5","4","bye","5","2","1","0","0","37","2.2"
"Kenneth Walker III","RB","SEA","5","2","3","0","bye","3","3","2","2","2","1","-","-","5","3","2","3","1","37","2.5"
"Kenneth Gainwell","RB","PHI","4","-","2","2","2","2","0","5","1","bye","1","3","6","0","1","3","4","1","37","2.3"
"Zack Moss","RB","IND","-","4","3","1","2","7","2","1","0","0","bye","3","3","8","3","-","-","0","37","2.6"
"De'Von Achane","RB","MIA","-","1","4","5","1","-","-","-","-","bye","1","-","4","9","3","3","5","1","37","3.4"
"Derrick Henry","RB","TEN","3","4","0","1","3","2","bye","4","4","1","2","2","2","2","4","1","1","0","36","2.1"
"Jaleel McLaughlin","RB","DEN","1","0","0","3","4","2","2","2","bye","2","5","0","2","2","3","5","3","0","36","2.1"
"Jalen Tolbert","WR","DAL","1","4","0","4","0","0","bye","1","5","5","5","3","1","1","0","2","1","3","36","2.1"
"Dawson Knox","TE","BUF","4","5","3","1","6","6","3","-","-","-","-","-","bye","3","0","2","0","3","36","3.0"
"Chris Moore","WR","TEN","1","1","3","3","0","1","bye","0","2","4","1","4","1","1","4","2","3","4","35","2.1"
"Adam Trautman","TE","DEN","5","1","2","1","5","2","2","0","bye","2","2","1","2","3","3","1","2","1","35","2.1"
"Connor Heyward","TE","PIT","4","0","2","0","4","bye","3","6","3","4","0","2","2","2","0","0","0","2","34","2.0"
"Colby Parkinson","TE","SEA","2","3","4","1","bye","5","2","0","1","1","0","1","0","2","1","4","3","4","34","2.0"
"Tre Tucker","WR","LV","-","1","0","0","1","2","3","0","3","0","7","1","bye","1","4","1","5","5","34","2.1"
"Terrace Marshall Jr.","WR","CAR","6","0","8","10","-","3","bye","1","1","3","-","-","-","-","-","-","-","1","33","3.7"
"Jauan Jennings","WR","SF","1","3","3","-","1","4","9","0","bye","2","1","2","4","1","2","-","-","-","33","2.5"
"James Conner","RB","ARI","5","1","2","2","0","-","-","-","-","0","3","5","2","bye","3","5","1","4","33","2.5"
"Braxton Berrios","WR","MIA","5","3","2","6","2","2","2","3","0","bye","-","1","0","2","1","0","2","2","33","2.1"
"Marvin Mims Jr.","WR","DEN","2","2","5","2","1","0","1","1","bye","1","3","3","2","3","2","4","-","1","33","2.1"
"Isaiah Hodgins","WR","NYG","3","5","1","3","2","0","4","0","1","2","3","1","bye","2","1","0","2","3","33","1.9"
"Trenton Irwin","WR","CIN","0","0","-","1","10","0","bye","2","0","4","5","1","1","0","0","4","2","2","32","2.0"
"Jerick McKinnon","RB","KC","2","3","3","1","3","5","2","2","2","bye","3","-","-","3","3","-","-","-","32","2.7"
"Hayden Hurst","TE","CAR","7","3","3","3","3","3","bye","2","4","4","-","-","-","-","-","0","-","-","32","3.2"
"Tommy Tremble","TE","CAR","0","0","1","0","1","2","bye","3","2","3","3","1","-","3","2","6","3","2","32","2.0"
"Raheem Mostert","RB","MIA","2","1","7","5","2","3","3","0","1","bye","2","1","1","1","2","1","-","-","32","2.1"
"Tyler Scott","WR","CHI","2","0","3","0","0","4","3","3","2","1","2","0","bye","1","4","0","5","2","32","1.9"
"Khalil Herbert","RB","CHI","5","3","2","5","3","-","-","-","-","-","3","2","bye","0","1","2","3","2","31","2.6"
