"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Demetric Felton Jr.","CIN","9.2","36.6","0.1","5.8","40.2","0.1","0.1","15.0"
"Kene Nwangwu","MIN","30.1","77.6","0.1","2.7","30.2","0.1","0.1","14.5"
"Tyrion Davis-Price","PHI","23.0","69.6","0.2","2.4","24.8","0.1","0.1","13.6"
"DeWayne McBride","MIN","23.7","71.7","0.3","2.0","21.6","0.1","0.1","13.3"
"Patrick Ricard","BAL","6.0","15.5","0.1","5.4","44.9","0.4","0.5","13.2"
"J.J. Taylor","HOU","8.3","42.8","0.3","4.1","17.8","0.1","0.1","12.3"
"Elijah Dotson","LAC","20.4","51.1","0.2","3.2","22.5","0.1","0.1","12.2"
"Nick Bawden","NYJ","0.0","4.0","1.0","3.0","21.0","0.0","0.0","11.5"
"Giovanni Ricci","CLE","4.7","19.7","0.2","4.1","30.0","0.2","0.0","11.1"
"Chris Brooks","MIA","0.0","106.0","0.0","0.0","0.0","0.0","0.0","10.6"
"Michael Burton","DEN","9.9","29.4","0.1","3.8","25.8","0.1","0.0","10.2"
"La'Mical Perine","KC","6.8","50.4","0.0","3.0","19.4","0.0","0.0","10.0"
"Jonathan Ward","TEN","10.1","26.9","0.1","2.8","21.0","0.1","0.0","8.9"
"Jashaun Corbin","NYG","17.8","29.1","0.0","3.0","30.3","0.0","0.1","8.8"
"Malik Davis","DAL","32.4","57.5","0.0","0.8","21.0","0.0","0.1","8.7"
"Keith Smith","ATL","9.1","20.5","0.1","3.2","27.8","0.1","0.0","8.7"
"Khari Blasingame","CHI","5.7","25.1","0.1","3.0","11.7","0.1","0.0","7.7"
"Jack Colletto","PIT","0.0","7.3","0.1","3.6","16.3","0.2","0.0","7.5"
"Deneric Prince","KC","26.6","47.5","0.0","0.7","18.1","0.0","0.1","7.5"
"Jakob Johnson","LV","3.8","9.3","0.1","2.6","14.1","0.1","0.0","5.6"
"Adam Prentice","NO","4.8","16.2","0.0","3.0","20.1","0.1","1.0","5.4"
